"Назва","Чистий процентний дохід/(Чисті процентні витрати)","Усього власного капіталу","Кошти клієнтів","Кредити та заборгованість клієнтів","Загальні активи, усього"
"АТ КБ ""ПриватБанк""","19,666,809","54,528,931","231,386,432","57,214,548","552,058,120"
"АТ ""Ощадбанк""","5,491,640","19,551,907","198,808,733","39,095,305","314,674,545"
"АТ ""Укрексімбанк""","1,770,933","8,905,217","75,339,672","17,997,125","202,212,328"
"АБ ""УКРГАЗБАНК""","2,739,887","8,254,484","103,552,666","21,236,783","127,452,511"
"ПАТ ""РОЗРАХУНКОВИЙ ЦЕНТР""","41,902","262,959","100,052","0","381,677"
"Усього по банках з державною часткою","29,711,171","91,503,497","609,187,555","135,543,761","1,196,779,180"
"Банки іноземних банківських груп","","","","",""
"АТ ""Райффайзен Банк Аваль""","7,173,438","13,015,808","66,615,719","35,219,594","95,158,660"
"АТ ""АЛЬФА-БАНК""","3,976,594","8,519,413","59,281,063","22,239,352","87,904,919"
"АТ ""СБЕРБАНК""","2,822,711","8,412,600","7,174,652","1,855,087","59,036,884"
"АТ ""УКРСИББАНК""","4,230,761","6,778,913","44,355,786","16,179,681","55,546,455"
"АТ ""ОТП БАНК""","3,647,215","7,774,475","35,179,411","17,687,030","49,297,258"
"АТ ""КРЕДІ АГРІКОЛЬ БАНК""","2,531,153","5,155,866","28,284,331","15,550,994","37,243,987"
"ПАТ ""Промінвестбанк""","924,468","3,155,081","117,467","962,102","36,931,742"
"АТ ""СІТІБАНК""","1,921,891","3,251,855","27,667,997","4,140,094","31,456,732"
"АТ ""ПРОКРЕДИТ БАНК""","1,295,567","3,942,032","14,629,317","10,296,602","24,321,817"
"АТ ""КРЕДОБАНК""","1,490,853","2,586,286","13,725,491","9,334,685","19,867,893"
"АТ ""ІНГ Банк Україна""","983,699","4,283,098","6,943,126","6,422,780","13,838,802"
"АТ ""Ідея Банк""","1,610,031","926,969","4,125,074","4,138,390","7,879,807"
"АТ ""ПРАВЕКС БАНК""","393,880","1,895,037","3,624,815","1,022,112","5,804,986"
"АТ ""ПІРЕУС БАНК МКБ""","225,377","638,413","1,983,932","757,685","3,052,874"
"АТ ""БАНК ФОРВАРД""","262,708","365,263","1,677,614","1,271,969","2,980,905"
"АТ ""Дойче Банк ДБУ""","136,005","370,042","2,325,825","475,450","2,748,887"
"АТ ""СЕБ КОРПОРАТИВНИЙ БАНК""","132,013","607,919","1,083,274","385,042","1,980,317"
"АТ ""КРЕДИТВЕСТ БАНК""","113,174","426,971","736,965","676,474","1,682,666"
"АТ ""КРЕДИТ ЄВРОПА БАНК""","76,526","395,034","655,309","127,565","1,407,840"
"АТ ""БТА БАНК""","30,959","358,290","105,508","51,671","553,477"
"Усього по банках іноземних банківських груп","33,979,023","72,859,364","320,292,676","148,794,359","538,696,908"
"Банки з приватним капіталом","","","","",""
"АТ ""ПУМБ""","5,292,100","9,067,377","42,553,687","23,630,616","63,215,305"
"Акціонерний банк ""Південний""","1,199,849","2,836,976","19,601,165","6,764,977","28,155,628"
"АТ ""УНІВЕРСАЛ БАНК""","1,226,568","1,703,061","14,339,420","8,335,596","20,103,054"
"АТ ""ТАСКОМБАНК""","1,337,139","2,579,564","14,677,114","6,888,651","19,965,215"
"АТ ""БАНК КРЕДИТ ДНІПРО""","221,620","1,180,531","7,159,524","2,270,709","11,391,587"
"ПАТ ""БАНК ВОСТОК""","655,116","885,666","8,891,819","3,860,258","11,047,466"
"АТ ""МЕГАБАНК""","113,916","748,225","6,772,432","3,094,868","10,010,553"
"АТ ""А - БАНК""","1,443,185","921,021","5,167,804","4,684,477","8,203,238"
"ПАТ ""МТБ БАНК""","288,809","768,695","4,509,627","1,384,155","5,662,695"
"АТ ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""","146,059","561,015","3,085,380","1,215,853","4,249,217"
"АКБ ""ІНДУСТРІАЛБАНК""","334,415","1,262,841","2,525,723","1,217,475","4,247,286"
"АТ ""КБ ""ГЛОБУС""","148,700","325,496","3,357,045","1,572,697","4,121,864"
"АТ ""МІБ""","147,479","405,485","2,106,537","905,502","3,775,683"
"АТ ""БАНК АЛЬЯНС""","151,901","497,587","2,860,617","1,519,078","3,608,932"
"АТ АКБ ""Львів""","127,044","357,552","2,144,907","1,119,764","3,231,087"
"ПуАТ ""КБ ""АКОРДБАНК""","141,430","270,812","2,597,903","717,656","3,075,878"
"АБ ""КЛІРИНГОВИЙ ДІМ""","118,175","561,131","1,581,588","433,631","2,868,925"
"АТ ""Полтава-банк""","163,300","798,437","1,665,671","860,269","2,632,750"
"АТ ""БАНК СІЧ""","44,146","229,735","1,837,106","601,737","2,114,917"
"АТ АКБ ""АРКАДА""","24,737","1,034,278","858,488","566,113","2,110,042"
"АТ ""АБ ""РАДАБАНК""","143,739","309,951","1,500,116","720,278","2,098,468"
"АТ ""АКБ ""КОНКОРД""","77,105","275,870","1,550,387","509,848","2,092,996"
